site,Col_Company,Col_Recruit,Col_detail,Col_url
Job_Korea,더치트주식회사,데이터 애널리스트 /데이터분석전문가 / 통계 전문가 / Data Analyst (통,경력무관 | 대졸↑ | 정규직 외 | 서울 구로구 | D-22,https://www.jobkorea.co.kr/Recruit/GI_Read/46668510?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1
Job_Korea,넛지헬스케어㈜,[캐시워크-병역특례]데이터분석담당 산업기능요원,경력무관 | 학력무관 | 병역특례 | 서울 강남구 | D-5,https://www.jobkorea.co.kr/Recruit/GI_Read/46570518?Oem_Code=C1&logpath=1&stext=데이터분석&listno=2
Job_Korea,㈜메디젠휴먼케어,메디젠휴먼케어데이터분석담당 경력직 채용,경력3년↑ | 석사↑ | 정규직 | 서울 송파구 | D-39,https://www.jobkorea.co.kr/Recruit/GI_Read/46590042?Oem_Code=C1&logpath=1&stext=데이터분석&listno=3
Job_Korea,넛지헬스케어㈜,[캐시워크]데이터분석담당 채용전환형 인턴,신입 | 대졸↑ | 인턴 | 서울 강남구 | D-8,https://www.jobkorea.co.kr/Recruit/GI_Read/46586706?Oem_Code=C1&logpath=1&stext=데이터분석&listno=4
Job_Korea,연이,데이터분석준전문가 자격증 온라인 강의 교사 채용,경력2년↑ | 학력무관 | 프리랜서 | 서울 광진구 | D-28,https://www.jobkorea.co.kr/Recruit/GI_Read/46706259?Oem_Code=C1&logpath=1&stext=데이터분석&listno=5
Job_Korea,한패스㈜,[한패스(주)/데이터분석팀] Google Analytics데이터분석가,경력 | 학력무관 | 정규직 | 서울 성동구 | D-4,https://www.jobkorea.co.kr/Recruit/GI_Read/46575616?Oem_Code=C1&logpath=1&stext=데이터분석&listno=6
Job_Korea,휴먼교육센터,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화(무료숙식제공),신입·경력 | 학력무관 | 연수생/교육생 | 서울 영등포구 외 | D-3,https://www.jobkorea.co.kr/Recruit/GI_Read/46589027?Oem_Code=C1&logpath=1&stext=데이터분석&listno=7
Job_Korea,(주)상상에프앤비,배달전문 프랜차이즈 기업 상상에프앤비 배달앱데이터분석전문가 채용,경력 | 학력무관 | 정규직 | 경기 남양주시 | D-12,https://www.jobkorea.co.kr/Recruit/GI_Read/46617537?Oem_Code=C1&logpath=1&stext=데이터분석&listno=8
Job_Korea,㈜케이씨지소프트,모빌리티 플랫폼을 혁신할 기술영업 전문가와데이터분석전문가,경력3년↑ | 초대졸↑ | 정규직 | 서울 성동구 | 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46438655?Oem_Code=C1&logpath=1&stext=데이터분석&listno=9
Job_Korea,㈜메이크인,[자체직전환/신입가능/여의도]나이스평가정보데이터분석채용,경력무관 | 초대졸↑ | 계약직 외 | 서울 영등포구 외 | D-3,https://www.jobkorea.co.kr/Recruit/GI_Read/46653728?Oem_Code=C1&logpath=1&stext=데이터분석&listno=10
Job_Korea,㈜이젠아카데미,ADSP자격증 빅데이터분석주말(토요일) 강의 강사님 채용,신입·경력 | 초대졸↑ | 정규직 외 | 서울 서초구 외 | D-6,https://www.jobkorea.co.kr/Recruit/GI_Read/46395047?Oem_Code=C1&logpath=1&stext=데이터분석&listno=11
Job_Korea,한국정보기술㈜,[한국정보기술(주)] 수도권본부-교통센터데이터분석인력 채용,경력무관 | 학력무관 | 계약직 | 경기 성남시 | D-2,https://www.jobkorea.co.kr/Recruit/GI_Read/46544770?Oem_Code=C1&logpath=1&stext=데이터분석&listno=12
Job_Korea,부산대학교 지능물류빅데이터연구소,[부산대KDT]개발자과정교육생모집(AI데이터분석풀스택웹개발자양성과정),신입 | 대졸↑ | 정규직 | 부산 금정구 | 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46467878?Oem_Code=C1&logpath=1&stext=데이터분석&listno=13
Job_Korea,㈜큐핏,보험 상품 업무 및데이터분석신입 및 경력사원 채용,신입·경력2년↑ | 대졸↑ | 정규직 | 서울 종로구 | D-8,https://www.jobkorea.co.kr/Recruit/GI_Read/46699374?Oem_Code=C1&logpath=1&stext=데이터분석&listno=14
Job_Korea,㈜파오스파트너스,"(주)파오스파트너스 -DB관리, DB생성, DB분석 채용",경력무관 | 초대졸↑ | 정규직 | 서울 용산구 | D-14,https://www.jobkorea.co.kr/Recruit/GI_Read/46448573?Oem_Code=C1&logpath=1&stext=데이터분석&listno=15
Job_Korea,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다",경력무관 | 박사↑ | 프리랜서 | 서울 서초구 | 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46543478?Oem_Code=C1&logpath=1&stext=데이터분석&listno=16
Job_Korea,잡코리아(유),[잡코리아] 영업기획 담당 (3년 이상),경력3년↑ | 학력무관 | 정규직 | 서울 서초구 | D-5,https://www.jobkorea.co.kr/Recruit/GI_Read/46651539?Oem_Code=C1&logpath=1&stext=데이터분석&listno=17
Job_Korea,㈜써치엠,[마케팅지원팀-신입/경력] 매체정산/영업지원/데이터분석/매체커뮤니케이션,신입·경력 | 초대졸↑ | 정규직 | 서울 강남구 | D-2,https://www.jobkorea.co.kr/Recruit/GI_Read/46542300?Oem_Code=C1&logpath=1&stext=데이터분석&listno=18
Job_Korea,코웨이㈜,[코웨이]25년 3월 계약직 채용(데이터분석/업무지원/실험보조/품질관리),경력 | 학력무관 | 계약직 | 서울 구로구 | 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46526774?Oem_Code=C1&logpath=1&stext=데이터분석&listno=19
Job_Korea,㈜싸이트플래닝건축사사무소,"도시공학&데이터분석공고 모집 (정규직, 경력직) [부산]",경력3년↑ | 대졸↑ | 정규직 | 부산 동구 | D-15,https://www.jobkorea.co.kr/Recruit/GI_Read/46630575?Oem_Code=C1&logpath=1&stext=데이터분석&listno=20
Job_Korea,㈜비알팜,생산관리/생산부/제조생산/구매/QA/공무/웹 관리자 신입/경력 채용,신입·경력 | 학력무관 | 정규직 외 | 강원 | D-15,https://www.jobkorea.co.kr/Recruit/GI_Read/46603837?Oem_Code=C1&logpath=1
Job_Korea,CJ,2025년 CJ그룹 신입사원 모집,신입 | 대졸↑ | 정규직 | 서울 외 | D-2,https://www.jobkorea.co.kr/Recruit/GI_Read/46639672?Oem_Code=C1&logpath=1
Job_Korea,㈜에버라인,[에버라인] K-POP 음반사업부 운영/행사/이벤트,신입·경력 | 초대졸↑ | 정규직 | 서울 | D-11,https://www.jobkorea.co.kr/Recruit/GI_Read/46612011?Oem_Code=C1&logpath=1
Job_Korea,㈜트립닷컴코리아,[Trip.com] 트립닷컴 부문별 채용,경력무관 | 학력무관 | 계약직 | 서울 | D-5,https://www.jobkorea.co.kr/Recruit/GI_Read/46617803?Oem_Code=C1&logpath=1
Job_Korea,코웨이갤러리,[코웨이갤러리] 코웨이 직영 매장 매니저 채용,경력무관 | 학력무관 | 계약직 | 충북 외 | 오늘마감,https://www.jobkorea.co.kr/Recruit/GI_Read/46641307?Oem_Code=C1&logpath=1
Job_Korea,㈜에드케이,사무직 담당자 채용,신입·경력 | 학력무관 | 정규직 | 서울 외 | D-12,https://www.jobkorea.co.kr/Recruit/GI_Read/46606930?Oem_Code=C1&logpath=1
Job_Korea,AJ 네트웍스,AJ네트웍스 3월 수시채용,신입·경력 | 고졸↑ | 정규직 | 서울 외 | 상시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46519565?Oem_Code=C1&logpath=1
Job_Korea,㈜십사일동안,주식회사 십사일동안 각 부문별 채용,신입·경력 | 학력무관 | 정규직 외 | 서울 | D-29,https://www.jobkorea.co.kr/Recruit/GI_Read/46011400?Oem_Code=C1&logpath=1
Job_Korea,㈜더에스엠씨그룹,[The SMC] AEㆍ퍼포먼스마케터ㆍ전략기획 신입/경력 채용,신입·경력 | 학력무관 | 정규직 | 서울 | D-33,https://www.jobkorea.co.kr/Recruit/GI_Read/46553252?Oem_Code=C1&logpath=1
Job_Korea,대성산업㈜,[대성그룹] 각 부문별 신입/경력 채용,신입·경력 | 초대졸↑ | 정규직 외 | 경기 외 | 오늘마감,https://www.jobkorea.co.kr/Recruit/GI_Read/46660334?Oem_Code=C1&logpath=1
Job_Korea,N/A,2025년 상반기 라인그룹 경력/신입 공개채용,D-12,https://www.jobkorea.co.kr/Recruit/GI_Read/46696377?Oem_Code=C1&logpath=1
Job_Korea,N/A,2025년 신입/경력사원 채용,D-13,https://www.jobkorea.co.kr/Recruit/GI_Read/46694365?Oem_Code=C1&logpath=1
Job_Korea,N/A,2025년 각 부문 채용,D-12,https://www.jobkorea.co.kr/Recruit/GI_Read/46695331?Oem_Code=C1&logpath=1
Job_Korea,N/A,2025년 상반기 신입/경력 공개채용,D-9,https://www.jobkorea.co.kr/Recruit/GI_Read/46711639?Oem_Code=C1&logpath=1
Job_Korea,N/A,2025년 상반기 부문별 대졸 신입사원 채용,D-13,https://www.jobkorea.co.kr/Recruit/GI_Read/46719028?Oem_Code=C1&logpath=1
Job_Korea,N/A,2025 신입 및 경력 채용,D-20,https://www.jobkorea.co.kr/Recruit/GI_Read/46713623?Oem_Code=C1&logpath=1
Job_Korea,N/A,신입 및 경력 사원 채용,D-30,https://www.jobkorea.co.kr/Recruit/GI_Read/46716456?Oem_Code=C1&logpath=1
Job_Korea,N/A,각 부문별 신입/경력 채용,D-29,https://www.jobkorea.co.kr/Recruit/GI_Read/46715718?Oem_Code=C1&logpath=1
Job_Korea,"#연구보조 및 측정,증량작업#고졸및전문대졸까지#연구보조","광학필름 연구보조 분석,측정 및 배합액 레진 작업등, 초보가능 급급","연봉29,000,000원 | 경기 오산시 오산동 | 등록일 14시간전 | 마감일 상시모집",https://www.albamon.com/jobs/detail/108722008?ng=1&searchKeyword=데이터분석
Job_Korea,휴먼교육센터,[국비무료/기숙사무료] AI심화/데이터분석/인공지능/풀스택(무료숙식제공), | 충남 아산시 배방읍 | 등록일 3/30 | D-3,https://www.albamon.com/jobs/detail/108538182?ng=1&searchKeyword=데이터분석
